official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
GeoEye-1,DigitalGlobal Corporation,USA,Commercial/Government,Earth Observation,LEO,Sun-Synchronous,671,686,0.00106,98.1,98.3,1955,980,1500,9/6/2008,7,General Dynamics,USA,Vandenberg AFB,Delta 2,2008-042A,33331
Göktürk 2,Turkish Ministry of National Defense,Turkey,Military,Earth Observation,LEO,Sun-Synchronous,669,690,0.00149,98.16,98.35,409,980,1500,12/18/2012,5,TÜBİTAK Space Technologies Research Institute/Turkish Aerospace Industries,Turkey,Jiuquan Satellite Launch Center,Long March 2D,2012-073A,39030
Haiyang 2A,State Oceanic Administration (SOA),China,Government,Earth Observation,LEO,Sun-Synchronous,965,967,0.000136,99.4,104.4,1500,980,1500,8/15/2011,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2011-043A,37781
HJ-1A,National Remote Sensing Center (NRSCC),China,Government,Earth Observation,LEO,Sun-Synchronous,628,665,0.00264,97.8,97.7,470,980,1500,9/5/2008,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2008-041A,33320
HJ-1B,National Remote Sensing Center (NRSCC),China,Government,Earth Observation,LEO,Sun-Synchronous,621,673,0.00371,97.8,97.7,470,980,1500,9/5/2008,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2008-041B,33321
HJ-1C,National Committee for Disaster Reduction and State Environmental Protection,China,Government,Earth Observation,LEO,Sun-Synchronous,420,438,0.00132,97.33,94.53,890,980,1500,11/18/2012,3,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2012-064A,38997
IGS-3A,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,484,492,0.000583,97.3,94.37,850,980,1500,9/11/2006,5,Mitsubishi,Japan,Tanegashima Space Center,H2A,2006-037A,29393
IGS-5A,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,484,492,0.000583,97.31,94.37,1600,980,1500,11/28/2009,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2009-066A,36104
IGS-6A,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,588,591,0.000216,97.69,96.47,1600,980,1500,9/23/2011,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-050A,37813
IGS-7A,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,512,514,0.000145,97.46,94.89,1600,980,1500,12/12/2011,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-075A,37954
IGS-8A,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,509,514,0.000363,97.5,94.85,1600,980,1500,1/27/2013,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2013-002A,39061
IGS-8B,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,512,523,0.000799,97.5,94.85,1600,980,1500,1/27/2013,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2013-002B,39062
IGS-9A,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,510,510,0,97.5,94.85,1600,980,1500,1/31/2015,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2015-004A,40381
IGS-9B,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,Sun-Synchronous,511,515,0.000291,97.5,95.2,1600,980,1500,3/26/2015,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2015-015A,40538
USA 133,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,671,675,0.000284,57,98.2,14500,980,1500,10/24/1997,5,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,1997-064A,25017
USA 152,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,574,676,0.00729,68,97.21,14500,980,1500,8/17/2000,9,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473
USA 182,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,713,716,0.000212,57.01,99.08,14500,980,1500,4/30/2005,9,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646
Megha-Tropiques,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France,Government,Earth Observation,LEO,Non-Polar Inclined,853,868,0.00104,20,102.2,1000,980,1500,10/12/2011,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2011-058A,37838
Meteor-M N-2,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Russia,Government,Earth Observation,LEO,Sun-Synchronous,819,828,0.000626,98.81,101.3,2778,980,1500,7/8/2014,5,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2-1b,2014-037A,40069
MetOp-B,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational,Government/Civil,Earth Observation,LEO,Sun-Synchronous,819,822,0.000209,98.7,101.3,4085,980,1500,9/17/2012,5,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2-1a,2012-049A,38771
NigeriaSat-2,National Space Research and Development Agency (NASRDA),Nigeria,Government,Earth Observation,LEO,Sun-Synchronous,691,705,0.00099,98.2,98.7,300,980,1500,8/17/2011,7,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dombarovsky Air Base,Dnepr 1,2011-044B,37789
NOAA-19,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA,Government,Earth Observation,LEO,Sun-Synchronous,845,864,0.00131,98.9,102,1420,980,1500,2/6/2009,3,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,2009-005A,33591
OCO 2,National Aeronautics and Space Administration (NASA),USA,Government,Earth Observation,LEO,Sun-Synchronous,701,704,0.000212,98.2,98.83,454,980,1500,7/2/2014,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Delta 2,2014-035A,40059
Ofeq 10,Ministry of Defense,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,385,601,0.0157,140.94,94.47,300,980,1500,4/9/2014,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex,Shavit,2014-019A,39650
Ofeq 5,Ministry of Defense,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,367,764,0.0286,143.4,95.97,300,980,1500,5/28/2002,4,"Israel Aircraft Industries (IAI), Missiles and Space Group",Israel,Palmachim Launch Complex,Shavit,2002-025A,27434
Ofeq 7,Ministry of Defense,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,340,576,0.0173,141.76,93.75,300,980,1500,6/10/2007,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex,Shavit,2007-025A,31601
Ofeq 9,Ministry of Defense,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,343,589,0.018,141.78,93.91,300,980,1500,6/22/2010,5,Israel Aerospace Industries (IAI),Israel,Palmachim Launch Complex,Shavit,2010-031A,36608
Cosmos 2486,Ministry of Defense,Russia,Military,Earth Observation,LEO,Sun-Synchronous,714,733,0.00134,98.3,99.2,7000,980,1500,6/7/2013,4,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2013-028A,39177
Cosmos 2506,Ministry of Defense,Russia,Military,Earth Observation,LEO,Sun-Synchronous,706,725,0.00134,98.5,99,7000,980,1500,6/23/2015,4,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2015-029A,40699
Pléiades HR1A,"Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden",France/Italy,Government,Earth Observation,LEO,Sun-Synchronous,697,699,0.000141,98.2,98.7,1000,980,1500,12/17/2011,5,Astrium,France,Guiana Space Center,Soyuz 2/Fregat,2011-076F,38012
Pléiades HR1B,"Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden",France,Government,Earth Observation,LEO,Sun-Synchronous,678,691,0.000921,98.5,98.45,970,980,1500,12/2/2012,5,Astrium,France,Guiana Space Center,Soyuz STA/Fregat,2012-068A,39019
Proba V,European Space Agency (ESA),ESA,Government,Earth Observation,LEO,Sun-Synchronous,813,820,0.000487,98.73,101.21,140,980,1500,5/7/2013,2.5,QinetiQ Space Belgium,Belgium,Guiana Space Center,Vega,2013-021A,39159
Radarsat-2,Radarsat International,Canada,Commercial,Earth Observation,LEO,Sun-Synchronous,791,793,0.00014,98.6,100.7,2924,980,1500,12/14/2007,7,"MacDonald, Dettwiler/Thales Alenia Spazio",Canada/Italy,Baikonur Cosmodrome,Soyuz,2007-061A,32382
RASAT,Space Technologies Research Institute,Turkey,Government,Earth Observation,LEO,Sun-Synchronous,667,697,0.00213,98.2,98.4,113,980,1500,8/17/2011,3,Space Technologies Research Institute,Turkey,Dombarovsky Air Base,Dnepr 1,2011-044D,37791
Resourcesat 2,Indian Space Research Organization (ISRO)/exactEarth,India/Canada,Government,Earth Observation,LEO,Sun-Synchronous,817,823,0.000417,98.7,101.3,1206,980,1500,4/20/2011,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C16,2011-015A,37387
Resurs-DK1,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Government/Commercial,Earth Observation,LEO,Non-Polar Inclined,564,571,0.000505,69.9,96,6650,980,1500,6/15/2006,3,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2006-021A,29228
Resurs-P1,Russian Federal Space Agency (Roskosmos),Russia,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,459,472,0.000951,97.2,93.9,5900,980,1500,6/25/2013,3,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Baikonur Cosmodrome,Soyuz-2.1b,2013-030A,39186
Resurs-P3,Russian Federal Space Agency (Roskosmos),Russia,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,469,472,0.000219,97.28,94.01,5900,980,1500,3/13/2016,5,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Baikonur Cosmodrome,Soyuz 2-1b,2016-016A,41386
SMAP,National Aeronautics and Space Administration (NASA),USA,Government,Earth Observation,LEO,Sun-Synchronous,660,686,0.00185,98.13,98.21,1200,980,1500,1/31/2015,3,Jet Propulsion Laboratory (NASA),USA,Vandenberg AFB,Delta 2,2015-003A,40376
TanDEM-X,German Aerospace Center (DLR)/Astrium,Germany,Government,Earth Observation,LEO,Sun-Synchronous,507,510,0.000218,97.4,94.8,1350,980,1500,6/21/2010,5,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-030A,36605
TeLEOS 1,AgilSpace,Singapore,Commercial,Earth Observation,LEO,Equatorial,535,550,0.00108,15,95.5,400,980,1500,12/16/2015,5,ST Electronics Ltd.,Singapore,Satish Dhawan Space Center,PSLV C29,2015-077D,41169
TerraSAR X 1,German Aerospace Center (DLR)/Infoterra,Germany,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,507,509,0.000145,97.5,94.8,1230,980,1500,6/15/2007,5,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2007-026A,31698
UK-DMC-2,UK/DMC International Imaging (DMCII),United Kingdom,Government,Earth Observation,LEO,Sun-Synchronous,660,662,0.000142,98,98,97,980,1500,7/29/2009,5,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Dnepr,2009-041C,35683
VNREDSat 1A,Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST),Vietnam,Government,Earth Observation,LEO,Sun-Synchronous,682,685,0.000213,98.13,98.43,115,980,1500,5/7/2013,5,EADS Astrium,France,Guiana Space Center,Vega,2013-021B,39160
VRSS-1,Bolivarian Agency for Space Activities,Venezuela,Government,Earth Observation,LEO,Sun-Synchronous,622,654,0.00228,98.03,97.48,880,980,1500,9/28/2012,5,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2012-052A,38782
WNISat-1,"Weathernews, Inc.",Japan,Commercial,Earth Observation,LEO,Sun-Synchronous,594,849,0.018,97.8,99.2,10,980,1500,11/21/2013,2,Axelspace,Japan,Dombarovsky Air Base,Dnepr,2013-066H,39423
Ziyuan 2C,Chinese Academy of Space Technology,China,Military,Earth Observation,LEO,Sun-Synchronous,555,606,0.00367,97.2,96.3,1200,980,1500,11/4/2004,4,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Chang Zheng 4B,2004-044A,28470
Ziyuan 3,China Centre for Resources Satellite Data and Application (CRESDA),China,Government,Earth Observation,LEO,Sun-Synchronous,500,504,0.000291,97.5,94.7,2650,980,1500,1/9/2012,4,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2012-001A,38046
Ziyan 3-2,China Centre for Resources Satellite Data and Application (CRESDA),China,Government,Earth Observation,LEO,Sun-Synchronous,487,500,0.000947,97.5,94.49,2630,980,1500,5/29/2016,4,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2016-033A,41556
AprizeSat 1,Aprize Satellites Argentina,Argentina,Commercial,Communications/Technology Development,LEO,Sun-Synchronous,696,764,0.00479,98,99.4,12,12,1500,6/29/2004,10,Aprize Satellite,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372
AprizeSat 10,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,613,733,0.00852,97.9,98,12,12,1500,6/19/2014,10,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019
AprizeSat 2,Aprize Satellites Argentina,Argentina,Commercial,Communications/Technology Development,LEO,Sun-Synchronous,694,850,0.0109,98.2,100.3,12,12,1500,6/29/2004,10,Aprize Satellite,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366
AprizeSat 3,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,559,662,0.00738,98.18,97,12,12,1500,7/29/2009,10,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686
AprizeSat 4,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,604,674,0.00499,98.1,97.5,12,12,1500,7/29/2009,10,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684
AprizeSat 5,AprizeSat,Canada,Commercial,Communications,LEO,Sun-Synchronous,610,694,0.00598,98.2,97.8,12,12,1500,8/17/2011,10,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044E,37792
AprizeSat 7,AprizeSat,Canada,Commercial,Communications,LEO,Sun-Synchronous,594,653,0.00422,97.8,97.17,12,12,1500,11/21/2013,10,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416
AprizeSat 8,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594,669,0.00536,97.8,97.99,12,12,1500,11/21/2013,10,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425
AprizeSat 9,exactEarth,Canada,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,613,715,0.00725,97.9,98,12,12,1500,6/19/2014,10,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018
Cubesat XI-IV,"Department of Astronautics, University of Tokyo",Japan,Civil,Technology Development,LEO,Sun-Synchronous,815,830,0.00104,98.7,101.3,1200,1,1500,6/30/2003,10,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848
exactView 6,exactEarth,Canada,Commercial,Communications,LEO,Sun-Synchronous,627,694,0.00476,98.2,98,12,12,1500,8/17/2011,10,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044F,37793
exactView 9,exactEarth,Canada,Commercial,Communications,LEO,Equatorial,630,649,0.00136,6,97.5,6,6,1500,9/28/2015,10,Space Flight Laboratory (SFL),Canada,Satish Dhawan Space Centre,PSLV C-30,2015-052C,40932
Galileo FOC FM1,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,17231,25971,0.156,49.78,776.25,733,660,1500,8/22/2014,12,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050A,40128
Galileo FOC FM2,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,13810,25918,0.231,49.77,705.11,733,660,1500,8/22/2014,12,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050B,40129
Globalstar FM4,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1407,1412,0.000321,52,114,450,350,1500,2/14/1998,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-008B,25163
Globalstar FM8,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,114.1,450,350,1500,4/24/1998,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-023B,25307
Globalstar M023,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1406,1422,0.00103,52,114.1,450,350,1500,2/9/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004A,25621
Globalstar M026,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1416,0.000257,52,114.1,450,350,1500,7/25/1999,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041A,25872
Globalstar M027,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,114.1,450,350,1500,8/17/1999,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-043B,25884
Globalstar M028,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,450,350,1500,7/25/1999,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041B,25873
Globalstar M029,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,900,1413,0.0341,52,114.1,450,350,1500,11/22/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062C,25963
Globalstar M031,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1477,1478,0.0000637,52,114.1,450,350,1500,10/18/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058D,25946
Globalstar FM37,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1411,1417,0.000385,52,114.1,450,350,1500,3/15/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-012D,25652
Globalstar M039,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1411,1416,0.000321,52,114.1,450,350,1500,11/22/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062A,25961
Globalstar M040,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1415,1416,0.0000642,52,114.1,450,350,1500,2/9/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004B,25622
Globalstar M056,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,450,350,1500,10/18/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058C,25945
Globalstar M059,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,114.1,450,350,1500,10/18/1999,10,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058B,25944
Globalstar M063,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,450,350,1500,2/8/2000,10,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,2000-008A,26081
Globalstar M065,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1411,1416,0.000321,52,114.1,450,350,1500,5/29/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020A,31571
Globalstar M066,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,114.1,450,350,1500,10/20/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048C,32265
Globalstar M067,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,0.0000642,52,114.1,450,350,1500,10/20/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048A,32263
Globalstar M068,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1411,1414,0.000193,52,114,450,350,1500,10/20/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048D,32266
Globalstar M069,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1411,1416,0.000321,52,114.1,450,350,1500,5/29/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020C,31573
Globalstar M070,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,114.1,450,350,1500,10/20/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048B,32264
Globalstar M071,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,114.1,450,350,1500,5/29/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020F,31576
Globalstar M072,Globalstar,USA,Commercial,Communications,LEO,Non-Polar Inclined,1412,1416,0.000257,52,114.1,450,350,1500,5/29/2007,10,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020D,31574
USA 186,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Elliptical,264,1050,0.0559,97.9,97,18000,10000,1500,10/19/2005,5,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888
USA 224,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Elliptical,200,1000,0.0574,97.8,97,18000,10000,1500,1/20/2011,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2011-002A,37348
USA 245,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Elliptical,257,997,0.0529,97.8,97.25,18000,10000,1500,8/28/2013,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2013-043A,39232
Landsat 7,NASA/US Geological Survey,USA,Government,Earth Observation,LEO,Sun-Synchronous,702,703,0.0000707,98.2,98.8,2744,2200,1500,4/15/1999,15,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 2,1999-020A,25682
LatinSat A,Aprize Satellites Argentina,Argentina,Commercial,Communications,LEO,Non-Polar Inclined,610,668,0.00414,64.6,97.5,1200,12,1500,12/20/2002,10,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058H,27612
LatinSat B,Aprize Satellites Argentina,Argentina,Commercial,Communications,LEO,Non-Polar Inclined,603,717,0.00811,64.6,97.9,1200,12,1500,12/20/2002,10,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058B,27606
MetOp-A,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational,Government/Civil,Earth Observation,LEO,Sun-Synchronous,820,821,0.0000695,98.7,101.3,4193,3750,1500,10/19/2006,5,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2),2006-044A,29499
RapidEye-1,RapidEye AG,Germany,Commercial,Earth Observation,LEO,Sun-Synchronous,613,646,0.00236,97.9,97.3,175,150,1500,8/29/2008,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040C,33314
RapidEye-2,RapidEye AG,Germany,Commercial,Earth Observation,LEO,Sun-Synchronous,621,638,0.00121,97.9,97.3,175,150,1500,8/29/2008,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040A,33312
RapidEye-3,RapidEye AG,Germany,Commercial,Earth Observation,LEO,Sun-Synchronous,621,637,0.00114,97.9,97.3,175,150,1500,8/29/2008,7,"Surrey Satellite Technology, Ltd.",United Kingdom,Baikonur Cosmodrome,Dnepr,2008-040D,33315
